category,brand,product,why_better,calories,protein,carbs,fat,sugar,ingredients,flavors
energy_drinks,Lucky Energy,Functional Energy Drink,"short ingredient list, zero sugar, no artificial additives",5,0,1,0,0,carbonated water;caffeine;l-theanine;natural flavors;citric acid,Cherry;Lemon Lime;Tropical;Watermelon
chocolate,Oobli,Sweet Protein Chocolate,"uses sweet proteins instead of sugar, no blood sugar spikes",130,2,12,9,5,milk chocolate;sweet protein (brazzein);milk powder;cocoa butter;cocoa mass;monk fruit extract,Milk Chocolate;Dark Chocolate;Salted Almond;Sweet n Salty
chocolate,Lily's,Dark Chocolate,"no added sugar, sweetened with stevia",150,2,16,13,0,unsweetened chocolate;erythritol;inulin;cocoa butter;stevia leaf extract;sunflower lecithin;vanilla,70% Dark;85% Dark;Milk Chocolate;Salted Caramel;Crispy Rice
chocolate,Hu,Paleo Chocolate Bar,"paleo, only 3 ingredients, no dairy or refined sugar",180,3,14,14,7,organic cacao;organic coconut sugar;organic unsweetened chocolate,Simple Dark;Hazelnut Butter;Salty Dark;Crunchy Banana;Cashew Butter
chocolate,ChocZero,Sugar-Free Chocolate,"no added sugar, sweetened with monk fruit, keto-friendly",160,2,14,13,0,unsweetened chocolate;cocoa butter;milk powder;monk fruit;sunflower lecithin;vanilla,Milk Chocolate;Dark Chocolate;White Chocolate;Caramel Filled;Hazelnut;Mint
chocolate,Feastables,MrBeast Chocolate Bar,"simple ingredients, no artificial flavors, ethically sourced cocoa",220,3,21,14,17,cacao butter;cane sugar;chocolate;cocoa powder;milk powder;sunflower lecithin,Original;Sea Salt;Peanut Butter;Almond;Quinoa Crunch
ice_cream,Halo Top,Pint Ice Cream,"low calorie, high protein, lower sugar than traditional ice cream",90,5,14,2,8,skim milk;eggs;erythritol;prebiotic fiber;milk protein concentrate;cream;cocoa;sea salt;stevia,Chocolate;Vanilla;Birthday Cake;Cookies and Cream;Sea Salt Caramel;Mint Chip;Strawberry
ice_cream,NadaMoo,Dairy-Free Ice Cream,"vegan, dairy-free, coconut milk base, organic",150,2,19,8,11,organic coconut milk;organic cane sugar;agave syrup;cocoa;coconut oil;sea salt;organic guar gum,Cookies and Cream;Chocolate;Vanilla;Mint Chip;Birthday Cake
ice_cream,Yasso,Greek Yogurt Bars,"made with greek yogurt, high protein, lower fat",100,6,17,1,11,nonfat yogurt;sugar;water;cream;milk protein concentrate;cocoa;mint extract,Mint Chocolate Chip;Cookies and Cream;Chocolate Fudge;Vanilla Bean;Sea Salt Caramel
ice_cream,Enlightened,Hi-Protein Ice Cream,"high protein, low sugar, no artificial sweeteners",90,8,14,1,4,skim milk;milk protein isolate;erythritol;allulose;cream;monk fruit;vanilla,Chocolate;Vanilla;Strawberry;Cookies and Cream
candy,SmartSweets,Low Sugar Gummies,"low sugar, plant-based, no artificial sweeteners",90,3,28,0,3,soluble corn fiber;allulose;gelatin;natural flavors;citric acid;fruit juice;stevia,Sweet Fish;Sour Blast Buddies;Peach Rings;Sour Gummy Bears
candy,UNREAL,Better-for-You Candy,"fair trade, no artificial ingredients, lower sugar",110,3,11,7,7,fair-trade dark chocolate;peanuts;organic cane sugar;palm fruit oil;sea salt;sunflower lecithin,Dark Chocolate Peanut Butter Cups;Coconut Bars;Almond Butter Cups;Crispy Quinoa Gems
candy,Lily's,Sweets Gummies,"no added sugar, plant-based fiber, sweetened with stevia",90,2,18,0,0,tapioca syrup;maltitol;pectin;gelatin;citric acid;natural flavors;stevia leaf extract,Sour Gummy Bears;Sweet Gummy Bears;Sour Worms
sweeteners,Lakanto,Monkfruit Sweetener,"zero glycemic, derived from monk fruit and erythritol",0,0,4,0,0,erythritol;monk fruit extract,Classic;Golden;Powdered;Brown
sweeteners,Truvia,Stevia Sweetener,"stevia-based, zero calorie",0,0,3,0,0,erythritol;stevia leaf extract;natural flavors,Original;Brown;Confectioners
sweeteners,Pyure,Organic Stevia,"organic, plant-based, zero calorie",0,0,4,0,0,organic erythritol;organic stevia leaf extract,Stevia Blend;Sweet Drops;Granular
pasta,Banza,Chickpea Pasta,"made from chickpeas, double the protein and fiber of regular pasta",190,14,32,3,3,chickpeas;tapioca;pea protein;xanthan gum,Penne;Rotini;Spaghetti;Elbow;Linguine;Cavatappi;Mac and Cheese;Lasagna Sheets
pasta,Barilla,Protein+ Pasta,"10g plant protein per serving from chickpeas, lentils and peas",190,10,38,2,2,semolina;lentil flour;chickpea flour;pea protein,Spaghetti;Penne;Rotini;Angel Hair
pasta,Tolerant,Legume Pasta,"single ingredient legume flour, high protein, gluten free",180,13,30,1,2,organic red lentil flour,Red Lentil Rotini;Black Bean Penne;Green Lentil Penne;Chickpea Rotini
desserts,Simply Desserts,Protein Pudding,"20g plant protein, sugar free, plant-based, keto-friendly",110,20,9,1,0,pea protein isolate;cocoa powder;natural flavors;sea salt;monk fruit;stevia leaf extract;xanthan gum,Chocolate;Vanilla;Banana
desserts,Simply Desserts,Jel Dessert,"sugar free, plant-based, vegan alternative to jello",5,0,2,0,0,maltodextrin;carrageenan;adipic acid;potassium citrate;natural flavors;monk fruit;stevia,Strawberry;Raspberry;Peach;Orange;Unflavored
fries,Jesse and Ben's,Avocado Oil Fries,"no seed oils, simple ingredients, made with avocado oil",120,1,15,6,1,potatoes;avocado oil;sea salt,Classic Sea Salt;Rosemary and Garlic
fries,Jesse and Ben's,Tallow Fries,made with grass-fed beef tallow instead of seed oils,130,1,16,7,1,potatoes;grass-fed beef tallow;sea salt,Tallow and Sea Salt
cereal,Magic Spoon,High Protein Cereal,"high protein, zero sugar, grain free, keto friendly",140,13,13,5,0,milk protein blend;allulose;avocado oil;tapioca starch;monk fruit;sea salt;cocoa,Cocoa;Fruity;Frosted;Cinnamon Roll;Maple Waffle;Peanut Butter
cereal,Three Wishes,Grain-Free Cereal,"grain free, only 3g sugar, high protein, gluten free",110,8,19,1,3,chickpea flour;pea protein;tapioca;honey;sea salt,Honey;Cocoa;Cinnamon;Unsweetened
bread,Hero Bread,Low Net Carb Bread,"low net carbs, high fiber, low calorie",45,5,10,1,0,wheat protein isolate;modified wheat starch;water;wheat gluten;oat fiber;canola oil;yeast;salt,Classic White;Seeded;Sweet Hawaiian;Hamburger Buns
protein_drinks,Slate,Lactose-Free Protein Milk,"20g protein lactose-free milk drink, no added sugar",120,20,9,0,8,ultra-filtered milk;whey protein concentrate;cocoa;monk fruit;lactase enzyme,Classic Chocolate;Vanilla;Cookies and Cream;Mocha Latte;Espresso
protein_drinks,Ready,Clear Protein Water,"20g protein, zero sugar, clear hydration",100,20,5,0,0,filtered water;whey protein isolate;natural flavors;citric acid;monk fruit;stevia,Mixed Berry;Lemon Lime;Tropical Citrus;Orange
protein_bars,Mezcla,Plant Protein Bar,"plant-based protein, gluten-free, soy-free, supports hunger relief charity",200,10,19,11,8,almonds;dates;brown rice protein;pea protein;vanilla extract;sea salt,Vanilla Almond;Chocolate Hazelnut;Banana Walnut;Strawberry Almond
protein_bars,Promix,Whey Protein Bar,"minimal ingredients, grass-fed whey, no sugar alcohols",230,16,18,12,6,whey protein isolate;peanuts;tapioca syrup;coconut nectar;sea salt,Peanut Butter;Chocolate;Mint Chocolate;Birthday Cake
